suite,variant,size,threads,milliseconds,completed,details,repetition
queue,batch,100003,7,3.2226,100003,P=3;C=4;capacity=64;batch=8;bounded;strict-try;prefix-batch;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,0
queue,batch,100003,7,4.0411,100003,P=3;C=4;capacity=64;batch=8;bounded;strict-try;prefix-batch;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,1
queue,batch,100003,7,4.5849,100003,P=3;C=4;capacity=64;batch=8;bounded;strict-try;prefix-batch;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,2
queue,batch,100003,7,4.4275,100003,P=3;C=4;capacity=64;batch=8;bounded;strict-try;prefix-batch;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,3
queue,batch,100003,7,3.3586,100003,P=3;C=4;capacity=64;batch=8;bounded;strict-try;prefix-batch;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,4
