suite,variant,size,threads,milliseconds,completed,details,repetition
policy_map_heavy,unseq,65537,1,2.585,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_heavy,par,65537,0,0.614,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_heavy,plain,65537,1,2.5933,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_heavy,par_unseq,65537,0,0.7543,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_heavy,seq,65537,1,2.6067,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_heavy,unseq,65537,1,2.5916,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_heavy,seq,65537,1,2.6071,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_heavy,par,65537,0,0.6155,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_heavy,plain,65537,1,2.6024,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_heavy,par_unseq,65537,0,0.7299,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_heavy,seq,65537,1,2.5755,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_heavy,par,65537,0,0.6426,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_heavy,unseq,65537,1,2.6257,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_heavy,par_unseq,65537,0,0.6397,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_heavy,plain,65537,1,2.601,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_heavy,par_unseq,65537,0,0.6563,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_heavy,unseq,65537,1,2.6039,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_heavy,par,65537,0,0.6601,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_heavy,plain,65537,1,2.6223,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_heavy,seq,65537,1,2.9347,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_heavy,par,65537,0,0.6441,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
policy_map_heavy,seq,65537,1,2.6153,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
policy_map_heavy,plain,65537,1,2.5901,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
policy_map_heavy,unseq,65537,1,2.6326,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
policy_map_heavy,par_unseq,65537,0,0.671,65537,map and contract validation included; allocation/init/oracle excluded; workload=heavy; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
