suite,variant,size,threads,milliseconds,completed,details,repetition
queue,batch,100003,7,9.4782,100003,P=3;C=4;capacity=64;batch=8;bounded;strict-try;prefix-batch;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,0
queue,batch,100003,7,11.068,100003,P=3;C=4;capacity=64;batch=8;bounded;strict-try;prefix-batch;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,1
queue,batch,100003,7,9.5051,100003,P=3;C=4;capacity=64;batch=8;bounded;strict-try;prefix-batch;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,2
queue,batch,100003,7,7.7606,100003,P=3;C=4;capacity=64;batch=8;bounded;strict-try;prefix-batch;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,3
queue,batch,100003,7,8.6254,100003,P=3;C=4;capacity=64;batch=8;bounded;strict-try;prefix-batch;atomic_lock_free=n/a;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,4
