suite,variant,size,threads,milliseconds,completed,details,repetition
policy_map_light,unseq,1048577,1,0.1774,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_light,par,1048577,0,0.2415,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_light,plain,1048577,1,0.0875,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_light,par_unseq,1048577,0,0.2047,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_light,seq,1048577,1,0.1906,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,0
policy_map_light,unseq,1048577,1,0.1909,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_light,seq,1048577,1,0.1725,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_light,par,1048577,0,0.2124,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_light,plain,1048577,1,0.1242,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_light,par_unseq,1048577,0,0.1991,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,1
policy_map_light,seq,1048577,1,0.1152,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_light,par,1048577,0,0.1704,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_light,unseq,1048577,1,0.0996,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_light,par_unseq,1048577,0,0.2291,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_light,plain,1048577,1,0.1689,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,2
policy_map_light,par_unseq,1048577,0,0.1558,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_light,unseq,1048577,1,0.1294,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_light,par,1048577,0,0.3157,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_light,plain,1048577,1,0.1328,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_light,seq,1048577,1,0.166,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,3
policy_map_light,par,1048577,0,0.2636,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
policy_map_light,seq,1048577,1,0.1118,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
policy_map_light,plain,1048577,1,0.1657,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
policy_map_light,unseq,1048577,1,0.1643,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
policy_map_light,par_unseq,1048577,0,0.2567,1048577,map and contract validation included; allocation/init/oracle excluded; workload=light; threads=0: backend unmeasured; threads=1: caller; geometric_degree=96 for heavy,4
