suite,variant,size,threads,milliseconds,completed,details,repetition
queue,ms,100003,7,55.5504,100003,P=3;C=4;capacity=0;batch=1;unbounded;strict-try;HP-locks+allocation-included;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,0
queue,ms,100003,7,43.9556,100003,P=3;C=4;capacity=0;batch=1;unbounded;strict-try;HP-locks+allocation-included;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,1
queue,ms,100003,7,58.4877,100003,P=3;C=4;capacity=0;batch=1;unbounded;strict-try;HP-locks+allocation-included;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,2
queue,ms,100003,7,45.4483,100003,P=3;C=4;capacity=0;batch=1;unbounded;strict-try;HP-locks+allocation-included;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,3
queue,ms,100003,7,50.3672,100003,P=3;C=4;capacity=0;batch=1;unbounded;strict-try;HP-locks+allocation-included;atomic_lock_free=true;retry=yield;timed=thread-create+transfer+join;final-destruction=excluded,4
